# Pipe-delimited Phase 6G evidence manifest.
# Fields:
# case_id|phase|test|seed|status|accepted_warnings|required_reports|required_counters|required_covers|related_ids|notes
6A_OBSERVABILITY|6A|test_mmu_l1dtlb_dtlb_ref_model_observability_001|97101|closure|0|PHASE6A_INVENTORY|PHASE6A_INVENTORY:inventory_checks>0;PHASE6A_INVENTORY:entry_payload>0;PHASE6A_INVENTORY:refill_payload>0;PHASE6A_INVENTORY:mode_snapshot>0;PHASE6A_INVENTORY:fragile_root_paths=0||L1DTLB_PROBE_ENTRY,L1DTLB_PROBE_REFILL_INSTALL,L1DTLB_MON_LSU_FIELDS,L1DTLB_UVM_WORK_004_SPEC_SB|Stable observation and final inventory report.
6B_FAULT_TOKEN|6B|test_mmu_l1dtlb_dtlb_fault_overlap_pipe_001|97101|closure|0|PHASE6B_TOKEN_TAXONOMY|PHASE6B_TOKEN_TAXONOMY:pf_current_t0>0;PHASE6B_TOKEN_TAXONOMY:af_previous_t1>0;PHASE6B_TOKEN_TAXONOMY:fault_overlap_separate>0;PHASE6B_TOKEN_TAXONOMY:remaining_broad_waive=0||L1DTLB_LOOKUP_PIPE_TOKEN,L1DTLB_LOOKUP_FAULT_OVERLAP,L1DTLB_UVM_WORK_002_REMOVE_BROAD_WAIVE|T0/T1 fault ownership and broad-waive removal.
6B_PMP_T1|6B|test_mmu_l1dtlb_dtlb_access_fault_t1_pairing_001|97201|closure|0|PHASE6B_TOKEN_TAXONOMY|PHASE6B_TOKEN_TAXONOMY:af_previous_t1>0;PHASE6B_TOKEN_TAXONOMY:pmp_t1_classified>0;PHASE6B_TOKEN_TAXONOMY:remaining_broad_waive=0||L1DTLB_LOOKUP_T1_ACCESS_FAULT,L1DTLB_TS_FAULT_PMP_ACCESS|T1 PMP access-fault ownership.
6B_STAMO_DIRECT|6B|test_mmu_l1dtlb_dtlb_stamo_pipe1_bypass_001|97401|closure|0|PHASE6B_TOKEN_TAXONOMY;PHASE6C_ENTRY_SHADOW|PHASE6B_TOKEN_TAXONOMY:stamo_classified>0;PHASE6C_ENTRY_SHADOW:stamo_bypass>0||L1DTLB_LOOKUP_STAMO_PIPE1,L1DTLB_TS_MODE_STAMO_PIPE1|STAMO pipe1 bypass classified outside entry-shadow compare.
6B_DIRECT_MAP|6B|test_mmu_l1dtlb_dtlb_sysmap_001|97401|closure|0|PHASE6B_TOKEN_TAXONOMY;PHASE6C_ENTRY_SHADOW|PHASE6B_TOKEN_TAXONOMY:direct_map_classified>0;PHASE6C_ENTRY_SHADOW:direct_bypass>0||L1DTLB_LOOKUP_DIRECT_MAP,L1DTLB_TS_MODE_DIRECT_MAP|Direct-map/sysmap classified as non-entry-shadow bypass.
6C_ENTRY_FIELD|6C|test_mmu_l1dtlb_dtlb_entry_field_model_001|97101|closure|0|PHASE6C_ENTRY_SHADOW|PHASE6C_ENTRY_SHADOW:refill_update>0;PHASE6C_ENTRY_SHADOW:flag_compare>0;PHASE6C_ENTRY_SHADOW:attr_compare>0|cp_l1dtlb_c024_plru_refill>0|L1DTLB_RM_ENTRY_SHADOW,L1DTLB_RM_ENTRY_FLAGS,L1DTLB_SB_ATTR_COMPARE|Entry shadow update and flag/attribute compare evidence.
6C_HIT_COMPARE|6C|test_mmu_l1dtlb_dtlb_hit_001|97102|closure|0|PHASE6C_ENTRY_SHADOW|PHASE6C_ENTRY_SHADOW:hit_compare>0;PHASE6C_ENTRY_SHADOW:pa_compare>0;PHASE6C_ENTRY_SHADOW:attr_compare>0|cp_l1dtlb_c002_single_hit>0|L1DTLB_LOOKUP_PAGE_SIZE_MATCH,L1DTLB_LOOKUP_PA_ASSEMBLY,L1DTLB_LOOKUP_ATTR_COMPARE|Normal L1 hit compared against shadow.
6C_HUGE_4K|6C|test_mmu_l1dtlb_dtlb_huge_001|97103|closure|0|PHASE6C_ENTRY_SHADOW|PHASE6C_ENTRY_SHADOW:hit4k>0|cp_l1dtlb_c022_page_size_4k>0|L1DTLB_TS_BASIC_PAGE_SIZE_4K_2M_1G|4K hit/refill page-size evidence.
6C_HUGE_2M|6C|test_mmu_l1dtlb_dtlb_huge_002|97104|closure|0|PHASE6C_ENTRY_SHADOW|PHASE6C_ENTRY_SHADOW:hit2m>0|cp_l1dtlb_c022_page_size_2m>0|L1DTLB_TS_BASIC_PAGE_SIZE_4K_2M_1G|2M hit/refill page-size evidence.
6C_HUGE_1G|6C|test_mmu_l1dtlb_dtlb_huge_003|97105|closure|0|PHASE6C_ENTRY_SHADOW|PHASE6C_ENTRY_SHADOW:hit1g>0|cp_l1dtlb_c022_page_size_1g>0|L1DTLB_TS_BASIC_PAGE_SIZE_4K_2M_1G|1G hit/refill page-size evidence.
6C_VA8_CLEAR|6C|test_mmu_l1dtlb_dtlb_inv_va8_alias_001|97108|closure|0|PHASE6C_ENTRY_SHADOW|PHASE6C_ENTRY_SHADOW:va8_clear>0;PHASE6C_ENTRY_SHADOW:clear_update>0|cp_l1dtlb_c020_va8_alias_clear>0|L1DTLB_CLR_VA8_ALIAS,L1DTLB_SB_INVALIDATE_FLUSH|Low-8 VA invalidate clears matching entries.
6D_ALLOC_SAME_4K|6D|test_mmu_l1dtlb_dtlb_alloc_001|97111|closure|0|PHASE6D_MB_SHADOW|PHASE6D_MB_SHADOW:dual_same_4k>0;PHASE6D_MB_SHADOW:alloc_match>0|cp_l1dtlb_c004_same_vpn_dedup>0|L1DTLB_MB_DUAL_SAME_4K,L1DTLB_SB_MB_ALLOCATION|Same-4K miss dedup allocation evidence.
6D_ALLOC_TWO_FREE|6D|test_mmu_l1dtlb_dtlb_alloc_two_lowest_free_001|97112|closure|0|PHASE6D_MB_SHADOW|PHASE6D_MB_SHADOW:dual_diff_two_free>0;PHASE6D_MB_SHADOW:alloc_match>0|cp_l1dtlb_c005_dual_diff_two_free>0|L1DTLB_MB_DUAL_DIFF_TWO_FREE,L1DTLB_SB_MB_ALLOCATION|Dual-different 4K with two free entries.
