# Pipe-delimited Phase 6G L2TLB evidence manifest.
# Fields:
# case_id|phase|test|seed|status|accepted_warnings|required_reports|required_counters|required_covers|related_ids|notes
P6C_TAG_REFILL_BASIC|6C|test_mmu_dir_l2tlb_tag_match_4k_hit|63001|closure|0|PHASE6C_L2_SHADOW|PHASE6C_L2_SHADOW:ptw_req>0;PHASE6C_L2_SHADOW:ptw_data>0;PHASE6C_L2_SHADOW:l2_miss>0;PHASE6C_L2_SHADOW:mismatch=0;PHASE6C_L2_SHADOW:waived_future=0||L2TLB_TP_012,L2TLB_TP_013,L2TLB_TP_017,L2TLB_TP_019,L2TLB_TP_024,L2TLB_SVA_010,L2TLB_SVA_011|Basic L2 miss/refill ownership and shadow health evidence.
P6C_PFU_PAYLOAD_IGNORE|6C|test_pipe2_prefetch_err|63003|closure|0|PHASE6C_PAYLOAD_IGNORE;PHASE6C_L2_SHADOW|PHASE6C_L2_SHADOW:ptw_fault>0;PHASE6C_L2_SHADOW:pfu>0;PHASE6C_L2_SHADOW:payload_ignore>0;PHASE6C_L2_SHADOW:mismatch=0;PHASE6C_L2_SHADOW:waived_future=0||L2TLB_TP_031,L2TLB_TP_033,L2TLB_SVA_014,L2TLB_SVA_021|PFU fault payload-ignore and L2 shadow mismatch-free evidence.
P6C_INVALL_SHORT|6C|test_mmu_dir_l2tlb_inv_all|63002|closure|0|PHASE6C_L2_SHADOW|PHASE6C_L2_SHADOW:inv>0;PHASE6C_L2_SHADOW:cp0_all_inv>0;PHASE6C_L2_SHADOW:mismatch=0;PHASE6C_L2_SHADOW:waived_future=0||L2TLB_TP_042,L2TLB_TP_043,L2TLB_TP_044,L2TLB_SVA_016|Short INVALL directed run evidence; not a full TLBOP exact read/write closure.
P6E_RESET_ACTIVE|6E|test_l2tlb_p6e_reset_active_lookup_ptw_tlbop_pfu|64001|closure|0|L2TLB_PHASE6E_TRIGGER;L2TLB_PHASE6E_CHECKER;L2TLB_PHASE6E_CLOSE;L2TLB_PHASE6E_SHADOW_DELTA;PHASE6C_L2_SHADOW|L2TLB_PHASE6E_SHADOW_DELTA:activity>0;L2TLB_PHASE6E_CLOSE:trigger_count>=1;L2TLB_PHASE6E_CLOSE:checker_count>=1;L2TLB_PHASE6E_CLOSE:waiver_count=0;PHASE6C_L2_SHADOW:mismatch=0;PHASE6C_L2_SHADOW:waived_future=0||L2TLB_TP_001,L2TLB_TP_002,L2TLB_TP_043,L2TLB_SVA_001,L2TLB_SVA_002|Warm reset with active lookup/PTW/TLBOP/PFU traffic; epoch evidence is transaction-level.
P6E_REQQ_ARB_OWNER|6E|test_l2tlb_p6e_reqq_arb_payload_owner|64001|closure|0|L2TLB_PHASE6E_TRIGGER;L2TLB_PHASE6E_CHECKER;L2TLB_PHASE6E_CLOSE;L2TLB_PHASE6E_SHADOW_DELTA;PHASE6C_L2_SHADOW;L2TLB_REQQ_FINE;L2TLB_ARB_FINE|L2TLB_PHASE6E_SHADOW_DELTA:ptw_req>0;L2TLB_PHASE6E_SHADOW_DELTA:activity>0;L2TLB_PHASE6E_CLOSE:trigger_count>=1;L2TLB_PHASE6E_CLOSE:checker_count>=1;PHASE6C_L2_SHADOW:mismatch=0;PHASE6C_L2_SHADOW:waived_future=0;L2TLB_REQQ_FINE:d_load_req>0;L2TLB_REQQ_FINE:d_load_issue>0;L2TLB_REQQ_FINE:d_credit_return>0;L2TLB_ARB_FINE:reqq_payload>0;L2TLB_ARB_FINE:tlbop_payload>0;L2TLB_ARB_FINE:ptw_read_payload>0;L2TLB_ARB_FINE:ptw_write_payload>0||L2TLB_TP_004,L2TLB_TP_005,L2TLB_TP_006,L2TLB_TP_008,L2TLB_TP_010,L2TLB_TP_011,L2TLB_SVA_003,L2TLB_SVA_004,L2TLB_SVA_005,L2TLB_SVA_006|Coarse ReqQ/arbiter ownership baseline only: DTLB load ReqQ/credit and PTW/TLBOP/ReqQ payload SVA are clean; P1 fine-grain bins are closed separately by P1_REQQ_ARB_FINE_CLOSURE.
P1_REQQ_ARB_FINE_CLOSURE|P1|test_l2tlb_p6e_reqq_arb_fine_overlap|64001|closure|0|L2TLB_REQQ_FINE;L2TLB_ARB_FINE;PHASE6C_L2_SHADOW;UVM_SUMMARY;L2TLB_CP0_TLBP_BURST|L2TLB_REQQ_FINE:i_req>0;L2TLB_REQQ_FINE:d_load_req>0;L2TLB_REQQ_FINE:d_store_req>0;L2TLB_REQQ_FINE:i_issue>0;L2TLB_REQQ_FINE:d_load_issue>0;L2TLB_REQQ_FINE:d_store_issue>0;L2TLB_ARB_FINE:reqq_pfu_conflict>0;L2TLB_ARB_FINE:ptw_reqq_conflict>0;L2TLB_ARB_FINE:tlbop_reqq_conflict>0;L2TLB_ARB_FINE:ptw_tlbop_conflict>0;L2TLB_ARB_FINE:ptw_pfu_conflict>0;L2TLB_ARB_FINE:tlbop_pfu_conflict>0;L2TLB_ARB_FINE:ptw_reqq_pfu_conflict>0;L2TLB_ARB_FINE:tlbop_reqq_pfu_conflict>0;L2TLB_ARB_FINE:ptw_tlbop_reqq_conflict>0;L2TLB_ARB_FINE:ptw_tlbop_pfu_conflict>0;L2TLB_ARB_FINE:four_req>0;L2TLB_ARB_FINE:ptw_on_reqq_block>0;L2TLB_ARB_FINE:tlboper_on_pfu_block>0;L2TLB_ARB_FINE:prefetch_mask_release>0;PHASE6C_L2_SHADOW:orphan=0;PHASE6C_L2_SHADOW:mismatch=0;UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0|c_pairwise_ptw_reqq_conflict>0;c_pairwise_tlbop_reqq_conflict>0;c_diag_ptw_tlbop_conflict>0;c_diag_ptw_reqq_pfu_conflict>0;c_diag_tlbop_reqq_pfu_conflict>0;c_ptw_on_blocks_reqq>0;c_tlboper_on_blocks_pfu>0;c_prefetch_mask_release>0|L2TLB_TP_004,L2TLB_TP_005,L2TLB_TP_006,L2TLB_TP_007,L2TLB_TP_008,L2TLB_TP_009,L2TLB_TP_010,L2TLB_TP_011,L2TLB_TP_019,L2TLB_TP_020,L2TLB_TP_021,L2TLB_TP_022,L2TLB_TP_023,L2TLB_TP_024,L2TLB_TP_051,L2TLB_TP_052,L2TLB_TP_053,L2TLB_TP_054,L2TLB_TP_055,L2TLB_SVA_003,L2TLB_SVA_004,L2TLB_SVA_005,L2TLB_SVA_006,L2TLB_SVA_019,L2TLB_SVA_020,L2TLB-P6-ISSUE-017,L2TLB-P6-ISSUE-026,L2TLB-P6-ISSUE-031|Fine-grain ReqQ/arbiter closure: phase-aligned CP0 TLBP overlap proves ITLB/DTLB load/store split, pairwise/triple/four-source conflict, ptw_on/tlboper_on block windows, PFU mask release, and clean UVM/Phase6C shadow evidence; L2 hit waived_future is not required to be zero for this row.
P6E_PFU_DIRECT_MISS_FAULT|6E|test_l2tlb_p6e_pfu_direct_hit_miss_fault_mask|64001|closure|0|L2TLB_PHASE6E_TRIGGER;L2TLB_PHASE6E_CHECKER;L2TLB_PHASE6E_CLOSE;L2TLB_PHASE6E_SHADOW_DELTA;PHASE6C_L2_SHADOW|L2TLB_PHASE6E_SHADOW_DELTA:pfu>0;L2TLB_PHASE6E_SHADOW_DELTA:payload_ignore>0;L2TLB_PHASE6E_CLOSE:trigger_count>=1;L2TLB_PHASE6E_CLOSE:checker_count>=1;PHASE6C_L2_SHADOW:mismatch=0;PHASE6C_L2_SHADOW:waived_future=0||L2TLB_TP_028,L2TLB_TP_029,L2TLB_TP_030,L2TLB_TP_031,L2TLB_TP_032,L2TLB_TP_033,L2TLB_TP_053,L2TLB_TP_057,L2TLB_SVA_021|PFU direct/hit/miss/fault/mask traffic with classifier and payload-ignore evidence.
P6E_TLBOP_INV_ABORT|6E|test_l2tlb_p6e_tlbop_inv_abort_lifecycle|64001|closure|0|L2TLB_PHASE6E_TRIGGER;L2TLB_PHASE6E_CHECKER;L2TLB_PHASE6E_CLOSE;L2TLB_PHASE6E_SHADOW_DELTA;PHASE6C_L2_SHADOW;UVM_SUMMARY|L2TLB_PHASE6E_SHADOW_DELTA:inv>0;L2TLB_PHASE6E_SHADOW_DELTA:abort_epoch>0;L2TLB_PHASE6E_SHADOW_DELTA:control_epoch>0;L2TLB_PHASE6E_CLOSE:trigger_count>=1;L2TLB_PHASE6E_CLOSE:checker_count>=1;PHASE6C_L2_SHADOW:mismatch=0;PHASE6C_L2_SHADOW:waived_future=0;UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0|cp_lsu_abort_entry_clear>0|L2TLB_TP_034,L2TLB_TP_035,L2TLB_TP_036,L2TLB_TP_037,L2TLB_TP_038,L2TLB_TP_039,L2TLB_TP_040,L2TLB_TP_041,L2TLB_TP_042,L2TLB_TP_043,L2TLB_TP_044,L2TLB_SVA_015,L2TLB_SVA_016,L2TLB-P6-ISSUE-015|Closed root-cause: mbuf_entry_on is an entry lifecycle marker that may clear on TLBOP abort, not only request/response; PTW LSU SVA now models abort clear and seed 64001 is clean with cp_lsu_abort_entry_clear cover hit.
P1_TLBP_EXACT_HIT|P1|test_mmu_tlbp_query_hit|65034|closure|0|L2TLB_TLBOP_CHECK;L2TLB_TLBOP_READBACK;UVM_SUMMARY|UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0||L2TLB_TP_034|TLBP hit exact decode/readback: TLBWI setup followed by TLBP MIR compare with expected hit/index.
P1_TLBP_EXACT_MISS|P1|test_mmu_tlbp_query_miss|65035|closure|0|L2TLB_TLBOP_CHECK;L2TLB_TLBOP_READBACK;UVM_SUMMARY|UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0||L2TLB_TP_034|TLBP miss exact decode/readback: nonmatching entry setup followed by TLBP MIR compare with expected miss.
