stage_id,target_dir,tc_id,test_name,seq,checker,reviewer,target_file
p9-cp0-tc_csr_001,cp0_tests,TC-CSR-001,test_mmu_csr_satp_read,cp0_reg_rw_seq,csr_cg,B,mmu_verification/testbench/test/cp0_tests/test_mmu_csr_satp_read.svh
p9-cp0-tc_csr_002,cp0_tests,TC-CSR-002,test_mmu_csr_satp_read_both,cp0_satp_sel_toggle_seq,csr_cg,B,mmu_verification/testbench/test/cp0_tests/test_mmu_csr_satp_read_both.svh
p9-cp0-tc_csr_003,cp0_tests,TC-CSR-003,test_mmu_csr_satp_write,cp0_reg_rw_seq,csr_cg,B,mmu_verification/testbench/test/cp0_tests/test_mmu_csr_satp_write.svh
p9-cp0-tc_csr_004,cp0_tests,TC-CSR-004,test_mmu_csr_satp_fields,cp0_reg_rw_seq,csr_cg,B,mmu_verification/testbench/test/cp0_tests/test_mmu_csr_satp_fields.svh
p9-cp0-tc_csr_005,cp0_tests,TC-CSR-005,test_mmu_csr_mode_disable,cp0_reg_rw_seq,csr_cg,B,mmu_verification/testbench/test/cp0_tests/test_mmu_csr_mode_disable.svh
p9-cp0-tc_csr_006,cp0_tests,TC-CSR-006,test_mmu_csr_mode_sv39,cp0_reg_rw_seq,csr_cg,B,mmu_verification/testbench/test/cp0_tests/test_mmu_csr_mode_sv39.svh
p9-cp0-tc_csr_007,cp0_tests,TC-CSR-007,test_mmu_csr_dual_satp_sel,cp0_satp_sel_toggle_seq,csr_cg,B,mmu_verification/testbench/test/cp0_tests/test_mmu_csr_dual_satp_sel.svh
p9-cp0-tc_csr_008,cp0_tests,TC-CSR-008,test_mmu_csr_satp_switch,cp0_satp_hotswap_vseq,"csr_cg + translation_sb",B,mmu_verification/testbench/test/cp0_tests/test_mmu_csr_satp_switch.svh
p9-cp0-tc_csr_009,cp0_tests,TC-CSR-009,test_mmu_csr_satp_write_tlb_inval,cp0_reg_rw_seq,"csr_cg + invalidation_sb",B,mmu_verification/testbench/test/cp0_tests/test_mmu_csr_satp_write_tlb_inval.svh
p9-cp0-tc_csr_010,cp0_tests,TC-CSR-010,test_mmu_csr_ptw_disable,cp0_ptw_disable_seq,"translation_sb + ptw_walk_cg",B,mmu_verification/testbench/test/cp0_tests/test_mmu_csr_ptw_disable.svh
