stage_id,status,task,owner,related_files,expected_output,output_standard,exit_criteria,candidate_tests,covergroup_refs,a_handoff
"P12-B-00","doc_frozen","范围冻结与场景基线","B","doc/phase12_scene_matrix.md; doc/phase12_covergroup_matrix.md; doc/phase12_a_handoff.md; doc/phase12_exit_checklist.md","冻结 Phase 12 runnable scope、F-ID、CG、A/B 边界","22 个 runnable tests、9 个 covergroups、3-seed 策略、A-side pending 项全部书面化","后续执行不再需要重新定义 Phase 12/13 边界","all tests in mmu_v4_phase12_list","all 9 phase12 CG","handoff doc frozen"
"P12-B-01","implementation_frozen","MAEE wrapper family","B","mmu_verification/testbench/test/maee_twu_tests/test_mmu_twu_maee0_csr_path.svh; mmu_verification/testbench/test/maee_twu_tests/test_mmu_twu_maee0_csr_symmetric.svh; mmu_verification/testbench/test/maee_twu_tests/test_mmu_twu_maee1_direct_refill.svh; mmu_verification/testbench/test/maee_twu_tests/test_mmu_twu_maee_dynamic_switch.svh; mmu_verification/testbench/test/maee_twu_tests/maee_twu_tests_suite.svh","4 个 MAEE 专项 wrapper，覆盖 MAEE=0/1/switch","每个 wrapper 明确 trace_id、checker、reviewer、目标路径；至少一条用例覆盖 mid-translation switch","`cg_maee_leaf_level` 与 `cg_maee_path` 都有直接 stimulus owner；A 可据此实现 `mmu_maee_twu_sva.sv`","test_mmu_twu_maee0_csr_path|test_mmu_twu_maee0_csr_symmetric|test_mmu_twu_maee1_direct_refill|test_mmu_twu_maee_dynamic_switch","cg_maee_leaf_level|cg_maee_path","A 实现 3 条 MAEE SVA + cover property"
"P12-B-02","implementation_frozen","PTW-ready family","B","mmu_verification/testbench/test/ptw_tests/test_mmu_ptw_ready_all_mask_low.svh; mmu_verification/testbench/test/ptw_tests/test_mmu_ptw_ready_one_unblock.svh; mmu_verification/testbench/test/ptw_tests/test_mmu_ptw_ready_l2tlb_stall.svh; mmu_verification/testbench/test/ptw_tests/ptw_tests_suite.svh","3 个 ready 反压 wrapper","分别承担 ready fall、ready rise、ready=0 stall protocol，且不混淆责任","`F4.NEW.6` 三条路径都可单独定位；`cg_ptw_ready_transition` 的 rise/fall/hold-low 都有 owner","test_mmu_ptw_ready_all_mask_low|test_mmu_ptw_ready_one_unblock|test_mmu_ptw_ready_l2tlb_stall","cg_ptw_ready_transition","A 复核 `sva_ptw_l2tlb_ready_when_all_mask` 绑定口径"
"P12-B-03","implementation_frozen","TWU idle vs mask family","B","mmu_verification/testbench/test/ptw_tests/test_mmu_twu_idle_implies_no_mask.svh; mmu_verification/testbench/test/ptw_tests/ptw_tests_suite.svh","1 个 idle/mask 语义 wrapper，外加 busy 补充场景来自 MBUF tests","明确 `idle=1 -> mask=0` 与 `mask=0 / idle=0` 合法忙态的区分","`cg_twu_idle_vs_mask_state` 至少覆盖 legal idle、legal busy、illegal reserved 三类 bin intent","test_mmu_twu_idle_implies_no_mask|test_mmu_mbuf_have_no_resend|test_mmu_mbuf_multi_twu_independent_ready","cg_twu_idle_vs_mask_state","A 复核 `sva_twu_idle_implies_no_mask` 的非法组合定义"
"P12-B-04","implementation_frozen","PDE Cache hit-level family","B","mmu_verification/testbench/test/ptw_tests/test_mmu_pde_cache_hit_l3_skip_thd.svh; mmu_verification/testbench/test/ptw_tests/test_mmu_pde_cache_hit_l2_skip_scd.svh; mmu_verification/testbench/test/ptw_tests/test_mmu_pde_cache_full_miss_full_ptw.svh; mmu_verification/testbench/test/ptw_tests/ptw_tests_suite.svh","3 个 hit-level wrapper","L3/L2/MISS 三种命中编码一一对应；同时固化 skip-stage 语义","`cg_xbar_hit_level` 的 `100/010/000` 都可由单独 test 解释；A 可据此 review `sva_twu_skip_stage_on_hit`","test_mmu_pde_cache_hit_l3_skip_thd|test_mmu_pde_cache_hit_l2_skip_scd|test_mmu_pde_cache_full_miss_full_ptw","cg_xbar_hit_level","A 复核命中编码与 skip-stage 解释"
"P12-B-05","implementation_frozen","TWU exception bypass family","B","mmu_verification/testbench/test/ptw_tests/test_mmu_twu_pgflt_bypass_arb.svh; mmu_verification/testbench/test/ptw_tests/test_mmu_twu_accerr_bypass_arb.svh; mmu_verification/testbench/test/ptw_tests/test_mmu_twu_except_conflict_pgflt_accflt.svh; mmu_verification/testbench/test/ptw_tests/ptw_tests_suite.svh","3 个异常直通 wrapper","pgflt 直通、accerr 直通、互斥性检查分离实现，不做大杂烩组合 test","`cg_twu_except_while_arb_busy` 的 except_type 与 arb_busy 关键交叉有 owner","test_mmu_twu_pgflt_bypass_arb|test_mmu_twu_accerr_bypass_arb|test_mmu_twu_except_conflict_pgflt_accflt","cg_twu_except_while_arb_busy","A 复核 `sva_twu_except_bypasses_arb` / `sva_twu_pgflt_acc_mutex`"
"P12-B-06","implementation_frozen","MBUF ready/have gating family","B","mmu_verification/testbench/test/ptw_tests/test_mmu_mbuf_ready_gate_no_early_vld.svh; mmu_verification/testbench/test/ptw_tests/test_mmu_mbuf_have_no_resend.svh; mmu_verification/testbench/test/ptw_tests/test_mmu_mbuf_multi_twu_independent_ready.svh; mmu_verification/testbench/test/ptw_tests/ptw_tests_suite.svh","3 个 MBUF 门控 wrapper","覆盖 ready=0 不提前发 vld、have=1 不重发、multi-TWU 独立 ready 三条主线","`cg_twu_data_ready_per_stage` 的 stage/data_ready/have/share_mode 都有主 owner","test_mmu_mbuf_ready_gate_no_early_vld|test_mmu_mbuf_have_no_resend|test_mmu_mbuf_multi_twu_independent_ready","cg_twu_data_ready_per_stage","A 复核 `sva_mbuf_waits_twu_ready` / `sva_mbuf_have_no_resend`"
"P12-B-07","implementation_frozen","Arb grant / fairness family","B","mmu_verification/testbench/test/ptw_tests/test_mmu_arb_grant_onehot_check.svh; mmu_verification/testbench/test/ptw_tests/test_mmu_arb_refill_except_priority.svh; mmu_verification/testbench/test/ptw_tests/test_mmu_arb_multi_twu_fairness.svh; mmu_verification/testbench/test/ptw_tests/ptw_tests_suite.svh","3 个 arb 行为 wrapper","one-hot、except 优先级、fairness 各自独立成用例","`cg_arb_grant_type` 的 grant_type/concurrent_req/priority_case 至少有一条 test 命中","test_mmu_arb_grant_onehot_check|test_mmu_arb_refill_except_priority|test_mmu_arb_multi_twu_fairness","cg_arb_grant_type","A 复核 arb grant 与 exception priority 的 SVA 解释"
"P12-B-08","implementation_frozen","PTW->arb VPN / PGS family","B","mmu_verification/testbench/test/ptw_tests/test_mmu_arb_vpn_match_tag_din.svh; mmu_verification/testbench/test/ptw_tests/test_mmu_arb_pgs_bank_select.svh; mmu_verification/testbench/test/ptw_tests/ptw_tests_suite.svh","2 个 PTW->arb 一致性 wrapper","vpn 字段一致性与 4K/2M/1G bank 选择拆开实现","`cg_ptw_arb_pgs_type` 的 pgs/vpn_match/bank_select 维度有直接 owner","test_mmu_arb_vpn_match_tag_din|test_mmu_arb_pgs_bank_select","cg_ptw_arb_pgs_type","A 复核 `sva_ptw_arb_vpn_matches_tag`"
"P12-B-09","joint_pending","Phase 12 whitebox covergroups / probes","B 主，A review","mmu_verification/testbench/env/mmu_env_cg_whitebox.svh; mmu_verification/testbench/env/mmu_dut_probes_if.sv; mmu_verification/testbench/top/tb_top.sv; doc/phase12_covergroup_matrix.md","9 个 Phase 12 CG 的宿主、采样口、probe 缺口与命中责任冻结","每个 CG 至少定义 feature、bin intent、candidate tests、probe status","不存在“以后看波形再说”的采样口灰区；probe 缺口都已书面列出","phase12 full list","cg_ptw_ready_transition|cg_twu_idle_vs_mask_state|cg_xbar_hit_level|cg_twu_except_while_arb_busy|cg_twu_data_ready_per_stage|cg_arb_grant_type|cg_ptw_arb_pgs_type|cg_maee_leaf_level|cg_maee_path","A review probe 命名与 SVA 采样节拍"
